2023 Canada Energy Regulator (CER) Data,,,Emissions (MT CO2e),,,,,
Region,Sector,Year,Global Net Zero,Canada Net Zero,Current Measures,,,
CANADA,Agriculture,2005,63.6071388,63.6071388,63.6071388,,,Global Net Zero: The Global Net-zero Scenario assumes Canada achieves net-zero emissions by 2050. We also assume the rest of the world reduces emissions enough to limit warming to 1.5°C.
CANADA,Direct Air Capture,2005,0,0,0,,,"Canada Net Zero: The Canada Net-zero Scenario assumes Canada also achieves net-zero emissions by 2050, but the rest of the world moves more slowly to reduce GHG emissions."
CANADA,Buildings,2005,84.84944401,84.84944401,84.84944401,,,Current Measures: The Current Measures Scenario assumes limited action in Canada to reduce GHG emissions beyond measures in place today and does not require that Canada achieve net-zero emissions. In this scenario we also assume limited future global climate action.
CANADA,Electricity,2005,117.5832408,117.5832408,117.5832408,,,
CANADA,Heavy Industry,2005,88.98923158,88.98923158,88.98923158,,,
CANADA,Low or Non-emitting Hydrogen Production,2005,0,0,0,,,
CANADA,"Land Use, Land Use Change and Forestry",2005,-5.54239861,-5.54239861,-5.54239861,,,
CANADA,Oil and Gas,2005,168.3348684,168.3348684,168.3348684,,,
CANADA,Transportation,2005,156.7892314,156.7892314,156.7892314,,,
CANADA,Waste and Others,2005,52.06563344,52.06563344,52.06563344,,,
CANADA,Agriculture,2006,62.267415,62.267415,62.267415,,,
CANADA,Direct Air Capture,2006,0,0,0,,,
CANADA,Buildings,2006,79.66270722,79.66270722,79.66270722,,,
CANADA,Electricity,2006,111.6244666,111.6244666,111.6244666,,,
CANADA,Heavy Industry,2006,88.74130678,88.74130678,88.74130678,,,
CANADA,Low or Non-emitting Hydrogen Production,2006,0,0,0,,,
CANADA,"Land Use, Land Use Change and Forestry",2006,-19.33270541,-19.33270541,-19.33270541,,,
CANADA,Oil and Gas,2006,174.649542,174.649542,174.649542,,,
CANADA,Transportation,2006,157.6618177,157.6618177,157.6618177,,,
CANADA,Waste and Others,2006,50.67910569,50.67910569,50.67910569,,,
CANADA,Agriculture,2007,62.44206263,62.44206263,62.44206263,,,
CANADA,Direct Air Capture,2007,0,0,0,,,
CANADA,Buildings,2007,85.52040556,85.52040556,85.52040556,,,
CANADA,Electricity,2007,119.6573995,119.6573995,119.6573995,,,
CANADA,Heavy Industry,2007,87.40887961,87.40887961,87.40887961,,,
CANADA,Low or Non-emitting Hydrogen Production,2007,0,0,0,,,
CANADA,"Land Use, Land Use Change and Forestry",2007,-16.87648638,-16.87648638,-16.87648638,,,
CANADA,Oil and Gas,2007,179.8193852,179.8193852,179.8193852,,,
CANADA,Transportation,2007,162.6528488,162.6528488,162.6528488,,,
CANADA,Waste and Others,2007,50.56910537,50.56910537,50.56910537,,,
CANADA,Agriculture,2008,61.91206893,61.91206893,61.91206893,,,
CANADA,Direct Air Capture,2008,0,0,0,,,
CANADA,Buildings,2008,85.43251371,85.43251371,85.43251371,,,
CANADA,Electricity,2008,108.8868558,108.8868558,108.8868558,,,
CANADA,Heavy Industry,2008,85.85881971,85.85881971,85.85881971,,,
CANADA,Low or Non-emitting Hydrogen Production,2008,0,0,0,,,
CANADA,"Land Use, Land Use Change and Forestry",2008,-21.37597276,-21.37597276,-21.37597276,,,
CANADA,Oil and Gas,2008,176.5491302,176.5491302,176.5491302,,,
CANADA,Transportation,2008,163.2252569,163.2252569,163.2252569,,,
CANADA,Waste and Others,2008,48.93658966,48.93658966,48.93658966,,,
CANADA,Agriculture,2009,59.17146034,59.17146034,59.17146034,,,
CANADA,Direct Air Capture,2009,0,0,0,,,
CANADA,Buildings,2009,83.8652561,83.8652561,83.8652561,,,
CANADA,Electricity,2009,93.77054048,93.77054048,93.77054048,,,
CANADA,Heavy Industry,2009,72.53000289,72.53000289,72.53000289,,,
CANADA,Low or Non-emitting Hydrogen Production,2009,0,0,0,,,
CANADA,"Land Use, Land Use Change and Forestry",2009,-48.79511044,-48.79511044,-48.79511044,,,
CANADA,Oil and Gas,2009,173.7762869,173.7762869,173.7762869,,,
CANADA,Transportation,2009,162.0328894,162.0328894,162.0328894,,,
CANADA,Waste and Others,2009,44.40288667,44.40288667,44.40288667,,,
CANADA,Agriculture,2010,59.36927371,59.36927371,59.36927371,,,
CANADA,Direct Air Capture,2010,0,0,0,,,
CANADA,Buildings,2010,81.50536669,81.50536669,81.50536669,,,
CANADA,Electricity,2010,94.59982585,94.59982585,94.59982585,,,
CANADA,Heavy Industry,2010,75.68698476,75.68698476,75.68698476,,,
CANADA,Low or Non-emitting Hydrogen Production,2010,0,0,0,,,
CANADA,"Land Use, Land Use Change and Forestry",2010,-18.17299551,-18.17299551,-18.17299551,,,
CANADA,Oil and Gas,2010,179.3210679,179.3210679,179.3210679,,,
CANADA,Transportation,2010,165.5035821,165.5035821,165.5035821,,,
CANADA,Waste and Others,2010,45.88143767,45.88143767,45.88143767,,,
CANADA,Agriculture,2011,60.20407743,60.20407743,60.20407743,,,
CANADA,Direct Air Capture,2011,0,0,0,,,
CANADA,Buildings,2011,86.01483676,86.01483676,86.01483676,,,
CANADA,Electricity,2011,86.87367375,86.87367375,86.87367375,,,
CANADA,Heavy Industry,2011,81.77988412,81.77988412,81.77988412,,,
CANADA,Low or Non-emitting Hydrogen Production,2011,0,0,0,,,
CANADA,"Land Use, Land Use Change and Forestry",2011,-11.94999644,-11.94999644,-11.94999644,,,
CANADA,Oil and Gas,2011,184.7988916,184.7988916,184.7988916,,,
CANADA,Transportation,2011,164.4233629,164.4233629,164.4233629,,,
CANADA,Waste and Others,2011,47.21733792,47.21733792,47.21733792,,,
CANADA,Agriculture,2012,62.4838525,62.4838525,62.4838525,,,
CANADA,Direct Air Capture,2012,0,0,0,,,
CANADA,Buildings,2012,84.53495511,84.53495511,84.53495511,,,
CANADA,Electricity,2012,83.30406194,83.30406194,83.30406194,,,
CANADA,Heavy Industry,2012,81.82683056,81.82683056,81.82683056,,,
CANADA,Low or Non-emitting Hydrogen Production,2012,0,0,0,,,
CANADA,"Land Use, Land Use Change and Forestry",2012,-21.18648391,-21.18648391,-21.18648391,,,
CANADA,Oil and Gas,2012,192.1420878,192.1420878,192.1420878,,,
CANADA,Transportation,2012,164.6183857,164.6183857,164.6183857,,,
CANADA,Waste and Others,2012,47.45911041,47.45911041,47.45911041,,,
CANADA,Agriculture,2013,64.37823602,64.37823602,64.37823602,,,
CANADA,Direct Air Capture,2013,0,0,0,,,
CANADA,Buildings,2013,85.65905342,85.65905342,85.65905342,,,
CANADA,Electricity,2013,79.70096097,79.70096097,79.70096097,,,
CANADA,Heavy Industry,2013,80.51321346,80.51321346,80.51321346,,,
CANADA,Low or Non-emitting Hydrogen Production,2013,0,0,0,,,
CANADA,"Land Use, Land Use Change and Forestry",2013,-19.73320053,-19.73320053,-19.73320053,,,
CANADA,Oil and Gas,2013,196.8323303,196.8323303,196.8323303,,,
CANADA,Transportation,2013,167.1057997,167.1057997,167.1057997,,,
CANADA,Waste and Others,2013,48.90671469,48.90671469,48.90671469,,,
CANADA,Agriculture,2014,63.39120891,63.39120891,63.39120891,,,
CANADA,Direct Air Capture,2014,0,0,0,,,
CANADA,Buildings,2014,86.23595586,86.23595586,86.23595586,,,
CANADA,Electricity,2014,76.28778125,76.28778125,76.28778125,,,
CANADA,Heavy Industry,2014,80.86144358,80.86144358,80.86144358,,,
CANADA,Low or Non-emitting Hydrogen Production,2014,0,0,0,,,
CANADA,"Land Use, Land Use Change and Forestry",2014,-39.31597006,-39.31597006,-39.31597006,,,
CANADA,Oil and Gas,2014,202.3808556,202.3808556,202.3808556,,,
CANADA,Transportation,2014,164.7071583,164.7071583,164.7071583,,,
CANADA,Waste and Others,2014,46.33105477,46.33105477,46.33105477,,,
CANADA,Agriculture,2015,65.01730888,65.01730888,65.01730888,,,
CANADA,Direct Air Capture,2015,0,0,0,,,
CANADA,Buildings,2015,85.2942193,85.2942193,85.2942193,,,
CANADA,Electricity,2015,78.94859476,78.94859476,78.94859476,,,
CANADA,Heavy Industry,2015,80.55736791,80.55736791,80.55736791,,,
CANADA,Low or Non-emitting Hydrogen Production,2015,0,0,0,,,
CANADA,"Land Use, Land Use Change and Forestry",2015,0.023899639,0.023899639,0.023899639,,,
CANADA,Oil and Gas,2015,203.0549719,203.0549719,203.0549719,,,
CANADA,Transportation,2015,162.5907788,162.5907788,162.5907788,,,
CANADA,Waste and Others,2015,47.453176,47.453176,47.453176,,,
CANADA,Agriculture,2016,66.02384057,66.02384057,66.02384057,,,
CANADA,Direct Air Capture,2016,0,0,0,,,
