Model,Scenario,Region,Variable,Unit,1990,1995,2000,2005,2007,2008,2010,2011,2012,2013,2014,2015,2018,2020,2021,2022,2023,2024,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2110,2130,2150,Country,Species
AIM/Hub-Vietnam 2.2,EN_NP_2025_-1002050,VNM,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,0.0,0.3421,11.5132,90.8452,233.7157,,,,,,,,,,,,,,Vietnam,
AIM/Hub-Vietnam 2.2,EN_NP_2025_-1002050,VNM,Carbon Sequestration|CCS|Biomass|Energy|Supply,Mt CO2/yr,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,0.0,0.3421,11.5132,90.8452,233.7157,,,,,,,,,,,,,,Vietnam,
AIM/Hub-Vietnam 2.2,EN_NP_2025_-1002050,VNM,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,Mt CO2/yr,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,0.0,0.1078,6.887,83.6305,222.8455,,,,,,,,,,,,,,Vietnam,
AIM/Hub-Vietnam 2.2,EN_NP_2025_-1002050,VNM,Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids,Mt CO2/yr,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,0.0,0.2343,4.6262,7.2146,10.8702,,,,,,,,,,,,,,Vietnam,
AIM/Hub-Vietnam 2.2,EN_NP_2025_-1002050,VNM,Emissions|CH4|AFOLU,Mt CH4/yr,,,,,,,2.8598,,,,,3.027,,3.3103,,,,,3.5899,2.6478,2.0007,1.6399,1.5866,1.7556,,,,,,,,,,,,,,Vietnam,CH4
AIM/Hub-Vietnam 2.2,EN_NP_2025_-1002050,VNM,Emissions|CH4|AFOLU|Agriculture,Mt CH4/yr,,,,,,,2.6417,,,,,2.8031,,3.0758,,,,,3.3439,2.4813,1.8842,1.5498,1.5004,1.6629,,,,,,,,,,,,,,Vietnam,CH4
AIM/Hub-Vietnam 2.2,EN_NP_2025_-1002050,VNM,Emissions|CH4|Energy|Demand|Industry,Mt CH4/yr,,,,,,,0.0039,,,,,0.0058,,0.0069,,,,,0.0081,0.0086,0.0042,0.0014,0.0007,0.0007,,,,,,,,,,,,,,Vietnam,CH4
AIM/Hub-Vietnam 2.2,EN_NP_2025_-1002050,VNM,Emissions|CH4|Energy|Demand|Transportation,Mt CH4/yr,,,,,,,0.0116,,,,,0.0122,,0.015,,,,,0.0174,0.0193,0.019,0.0154,0.0161,0.0161,,,,,,,,,,,,,,Vietnam,CH4
AIM/Hub-Vietnam 2.2,EN_NP_2025_-1002050,VNM,Emissions|CH4|Energy|Supply,Mt CH4/yr,,,,,,,1.3607,,,,,1.6296,,1.7109,,,,,1.8235,0.7018,0.4146,0.302,0.3106,0.3231,,,,,,,,,,,,,,Vietnam,CH4
AIM/Hub-Vietnam 2.2,EN_NP_2025_-1002050,VNM,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,34.194,,,,,40.3683,,48.4232,,,,,45.8352,16.3566,8.647,-2.2933,-5.7682,39.6092,,,,,,,,,,,,,,Vietnam,CO2
AIM/Hub-Vietnam 2.2,EN_NP_2025_-1002050,VNM,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,152.0329,,,,,193.3815,,223.1999,,,,,261.3006,262.3133,200.7694,126.0695,27.827,-128.7513,,,,,,,,,,,,,,Vietnam,CO2
AIM/Hub-Vietnam 2.2,EN_NP_2025_-1002050,VNM,Emissions|CO2|Energy|Demand,Mt CO2/yr,,,,,,,83.2598,,,,,95.1969,,101.8537,,,,,111.1629,108.5939,79.8842,52.7137,50.6664,52.8077,,,,,,,,,,,,,,Vietnam,CO2
AIM/Hub-Vietnam 2.2,EN_NP_2025_-1002050,VNM,Emissions|CO2|Energy|Demand|AFOFI,Mt CO2/yr,,,,,,,2.1,,,,,2.6779,,2.563,,,,,2.4781,1.9311,0.9945,0.3928,0.1608,0.1416,,,,,,,,,,,,,,Vietnam,CO2
AIM/Hub-Vietnam 2.2,EN_NP_2025_-1002050,VNM,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,,,,,,,39.929,,,,,49.782,,49.4713,,,,,52.0021,46.7688,22.9213,7.6177,3.4402,3.6387,,,,,,,,,,,,,,Vietnam,CO2
AIM/Hub-Vietnam 2.2,EN_NP_2025_-1002050,VNM,Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial,Mt CO2/yr,,,,,,,3.4553,,,,,3.8322,,4.1104,,,,,4.718,4.2022,2.0572,0.6132,0.2397,0.2386,,,,,,,,,,,,,,Vietnam,CO2
