Model,Scenario,Region,Variable,Unit,1990,1995,2000,2005,2007,2008,2010,2011,2012,2013,2014,2015,2018,2020,2021,2022,2023,2024,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2110,2130,2150,Country,Species
COFFEE 1.1,CO_2Deg2020,ZAF,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,0.0,0.0,4.384178,17.811797,99.555869,,213.670706,,238.56475,,181.508986,,203.596316,,289.466952,,,,South Africa,
COFFEE 1.1,CO_2Deg2020,ZAF,Carbon Sequestration|CCS|Biomass|Energy|Supply,Mt CO2/yr,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,0.0,0.0,4.384178,17.811797,99.555869,,213.670706,,238.56475,,181.508986,,203.596316,,289.466952,,,,South Africa,
COFFEE 1.1,CO_2Deg2020,ZAF,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,Mt CO2/yr,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,South Africa,
COFFEE 1.1,CO_2Deg2020,ZAF,Carbon Sequestration|CCS|Biomass|Energy|Supply|Gases,Mt CO2/yr,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,31.59048,,141.874638,,147.214172,,74.757112,,,,South Africa,
COFFEE 1.1,CO_2Deg2020,ZAF,Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids,Mt CO2/yr,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,0.0,0.0,4.384178,17.811797,99.555869,,213.670706,,206.97427,,39.6343479999999,,56.382144,,214.70984,,,,South Africa,
COFFEE 1.1,CO_2Deg2020,ZAF,Carbon Sequestration|Direct Air Capture,Mt CO2/yr,,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,South Africa,
COFFEE 1.1,CO_2Deg2020,ZAF,Carbon Sequestration|Land Use,Mt CO2/yr,,,,,,,0.0,,,,,0.322226,,0.9304,,,,,2.7222,2.7222,2.7222,2.7222,2.193,0.50775,,12.7761,,12.7761,,11.1814,,11.4163,,0.0,,,,South Africa,
COFFEE 1.1,CO_2Deg2020,ZAF,Emissions|CH4|AFOLU,Mt CH4/yr,,,,,,,0.79887,,,,,0.733114,,0.763343,,,,,0.77741,0.795073,0.805891,0.811449,0.812082,0.815229,,0.785045,,0.780233,,0.784246,,0.765867,,0.760329,,,,South Africa,CH4
COFFEE 1.1,CO_2Deg2020,ZAF,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,1.116,,,,,-0.322226,,-0.9304,,,,,-2.7222,-2.7222,-2.7222,-2.7222,-2.193,-0.50775,,-12.7761,,-12.7761,,-11.1814,,-11.4163,,0.0,,,,South Africa,CO2
COFFEE 1.1,CO_2Deg2020,ZAF,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,456.406979,,,,,484.338916,,298.464164,,,,,332.773565,250.655332,215.539818,217.07375,171.395695,8.693079,,-219.20758,,-332.67101,,-514.9851,,-558.4688,,-550.58885,,,,South Africa,CO2
COFFEE 1.1,CO_2Deg2020,ZAF,Emissions|CO2|Energy|Demand,Mt CO2/yr,,,,,,,198.939558,,,,,83.754499,,86.9549369999999,,,,,114.361958999999,130.118645999999,145.173006999999,154.832047,148.326099,79.74904,,-50.891593,,-76.280569,,-94.975414,,-105.846072,,-157.009438,,,,South Africa,CO2
