id,region,year,policy,swb,ccs,hyd,oil,dac,lul,agriculture and forestry,oil and gas,mining,utilities,construction,manufacturing,transportation,services,direct air capture
68042,can,2030,netzero,ref,ref,ref,ref,no,high,56.38085266,123.5600448,27.90316664,53.53615744,167.6340672,235.4148103,142.6183331,1681.881288,0
68105,can,2030,netzero,low,ref,ref,ref,no,high,56.66270501,125.0803636,28.48232008,54.51902072,171.7928019,238.097388,145.3357487,1696.769674,0
68168,can,2030,netzero,low,ref,ref,ref,yes,high,56.65764048,125.0803124,28.48190714,54.51968308,171.7938563,238.0977206,145.3409925,1696.771037,0
68231,can,2030,netzero,low,high,ref,low,yes,high,65.07056987,54.72757278,31.76101819,53.02267383,164.0433325,263.173645,147.6777747,1721.817065,0
68294,can,2030,netzero,high,high,ref,low,yes,high,64.76705489,55.54357501,31.25487864,52.70744324,160.8820854,259.3093734,145.1461097,1705.138798,0
68357,can,2030,netzero,ref,high,low,low,yes,high,64.89063816,54.28771347,31.53462747,52.84294072,161.7568868,261.083213,146.7163063,1713.384721,0
68420,can,2030,netzero,low,high,low,low,yes,high,65.08332157,54.75581683,31.76420312,53.05811845,163.9454367,262.8572809,147.6552894,1721.589188,0
68483,can,2030,netzero,high,high,low,low,yes,high,64.74925575,55.51721816,31.25884059,52.75776391,160.8927125,259.2410986,145.1236803,1705.255852,0
68546,can,2030,netzero,ref,high,high,low,yes,high,64.99365485,54.36446996,31.56518954,52.78583062,161.6896084,260.828171,146.7051126,1713.297071,0
68609,can,2030,netzero,low,high,high,low,yes,high,65.07976594,54.75559289,31.76093089,53.02126071,164.0272671,263.0889224,147.6787483,1721.767773,0
68672,can,2030,netzero,high,high,high,low,yes,high,64.77337114,55.55359464,31.25542163,52.69385711,160.8657505,259.3059635,145.1737855,1705.063884,0
68735,can,2030,netzero,high,ref,ref,ref,yes,high,55.79731048,123.9375797,27.39804456,53.2481352,166.2312939,232.6118459,141.0148474,1670.794594,0
68798,can,2030,netzero,ref,ref,low,ref,yes,high,56.36614092,123.5558434,27.89713227,53.59162212,167.630874,235.3220208,142.5885447,1681.486392,0
68861,can,2030,netzero,low,ref,low,ref,yes,high,56.64832315,125.075517,28.47708034,54.56711483,171.7910501,238.0752151,145.2979869,1696.792517,0
68924,can,2030,netzero,high,ref,low,ref,yes,high,55.78033266,123.9154353,27.38946141,53.30323215,166.2539295,232.5983796,141.0065527,1670.860558,0
68987,can,2030,netzero,ref,ref,high,ref,yes,high,56.38261141,123.560704,27.90362939,53.5239434,167.6232317,235.4160597,142.6239623,1681.849885,0
69050,can,2030,netzero,low,ref,high,ref,yes,high,56.66637736,125.0812776,28.48340659,54.50990951,171.7826316,238.1036801,145.3771958,1696.736703,0
69113,can,2030,netzero,high,ref,high,ref,yes,high,55.79898341,123.9238893,27.41082224,53.23380463,166.2215675,232.6042449,141.0186637,1670.736119,0
69176,can,2030,netzero,ref,low,ref,ref,no,high,56.07791194,124.8635069,27.95245913,53.65686082,169.7237016,236.1055583,144.2283667,1685.287138,0
69239,can,2030,netzero,low,low,ref,ref,no,high,56.29975968,127.847337,28.47209189,54.75581597,175.4744123,238.4464165,146.9165279,1702.601443,0
69302,can,2030,netzero,high,ref,ref,ref,no,high,55.79627093,123.9302226,27.40368076,53.24997375,166.2334054,232.6078765,141.0221922,1670.778673,0
69365,can,2030,netzero,high,low,ref,ref,no,high,55.83687341,125.1673752,27.55648731,53.32843852,168.220892,233.8969012,142.5746595,1675.987914,0
69428,can,2030,netzero,ref,low,low,ref,no,high,56.07307159,124.8331088,27.94993689,53.72197729,169.7730792,236.1486359,144.2977924,1685.703077,0
69491,can,2030,netzero,low,low,low,ref,no,high,56.29111801,127.9231582,28.48056702,54.80394321,175.5677174,238.3978292,146.8757246,1702.660441,0
69554,can,2030,netzero,high,low,low,ref,no,high,55.81424087,125.1628021,27.55566641,53.33338271,168.2055433,233.8564199,142.5314759,1675.642308,0
69617,can,2030,netzero,ref,low,high,ref,no,high,56.07096614,124.8812827,27.93555004,53.62036652,169.8175765,236.0655651,144.3135062,1685.244419,0
69680,can,2030,netzero,low,low,high,ref,no,high,56.30554952,127.7871434,28.48400211,54.74798636,175.3837158,238.421394,146.9042378,1702.482697,0
69743,can,2030,netzero,high,low,high,ref,no,high,55.83067857,125.1592374,27.56414404,53.27497422,168.1584944,233.8085222,142.5259035,1675.50017,0
69806,can,2030,netzero,ref,low,ref,ref,yes,high,56.07481838,124.935916,27.94560279,53.68294302,169.9437928,236.1481181,144.3508493,1685.915483,0
69869,can,2030,netzero,low,low,ref,ref,yes,high,56.29250868,127.8493541,28.48131054,54.75647744,175.4776088,238.4467748,146.9127834,1702.603694,0
69932,can,2030,netzero,high,low,ref,ref,yes,high,55.81516626,125.1873057,27.5563163,53.29657595,168.1811847,233.8507745,142.5330678,1675.559183,0
69995,can,2030,netzero,ref,ref,low,ref,no,high,56.36277129,123.5445501,27.90132801,53.57601841,167.6412162,235.4134586,142.6047818,1681.953574,0
