id,region,year,policy,swb,ccs,hyd,oil,dac,lul,agriculture and forestry,oil and gas,mining,utilities,construction,manufacturing,transportation,services,direct air capture
68042,can,2030,netzero,ref,ref,ref,ref,no,high,377.7759351,153.2271044,113.1550221,73.2316369,1808.380016,2081.421197,956.8546444,15378.38593,0
68105,can,2030,netzero,low,ref,ref,ref,no,high,379.1616905,154.2394444,114.4234478,76.75579431,1844.595611,2111.634381,973.5215931,15513.92344,0
68168,can,2030,netzero,low,ref,ref,ref,yes,high,379.1612384,154.2396664,114.4236625,76.75613972,1844.603928,2111.647936,973.5224955,15513.92182,0
68231,can,2030,netzero,low,high,ref,low,yes,high,388.0335964,102.7958052,120.3661196,75.48600977,1753.102379,2306.667446,981.2296767,15576.2718,0
68294,can,2030,netzero,high,high,ref,low,yes,high,384.9025382,103.8398571,119.32732,72.27260766,1729.515163,2262.762269,964.259441,15429.90538,0
68357,can,2030,netzero,ref,high,low,low,yes,high,386.3621765,103.8126765,119.6990742,73.22440286,1733.719489,2284.739749,972.7364213,15498.26383,0
68420,can,2030,netzero,low,high,low,low,yes,high,388.196761,103.0867874,120.3529941,75.49161662,1752.273793,2297.699528,981.0085132,15575.00137,0
68483,can,2030,netzero,high,high,low,low,yes,high,384.9246404,103.8144883,119.3177997,72.29627597,1729.629989,2261.342669,964.3824401,15430.55333,0
68546,can,2030,netzero,ref,high,high,low,yes,high,386.6042724,103.8107266,119.7478739,73.20371212,1733.240195,2274.988611,972.7272377,15497.97496,0
68609,can,2030,netzero,low,high,high,low,yes,high,388.0898616,102.9619412,120.3695619,75.48344768,1752.958189,2304.211216,981.2042639,15576.02754,0
68672,can,2030,netzero,high,high,high,low,yes,high,384.8993989,103.8403935,119.3233355,72.26490987,1729.34463,2262.809012,964.183904,15429.56807,0
68735,can,2030,netzero,high,ref,ref,ref,yes,high,376.1752549,153.1042265,112.1247562,71.56503356,1796.967079,2051.784004,945.5869597,15288.01142,0
68798,can,2030,netzero,ref,ref,low,ref,yes,high,377.7309485,153.2239471,113.1397678,73.25392915,1808.644826,2081.667307,956.9660134,15378.81865,0
68861,can,2030,netzero,low,ref,low,ref,yes,high,379.1303902,154.2328951,114.4045667,76.77603646,1844.521237,2111.446898,973.5279691,15514.20257,0
68924,can,2030,netzero,high,ref,low,ref,yes,high,376.1481261,153.0903914,112.1104026,71.58866891,1797.103042,2051.709707,945.6769292,15288.42112,0
68987,can,2030,netzero,ref,ref,high,ref,yes,high,377.7774891,153.2239597,113.1549077,73.22340039,1808.281898,2081.468155,956.8073836,15378.15065,0
69050,can,2030,netzero,low,ref,high,ref,yes,high,379.1650927,154.2375745,114.4240988,76.75200505,1844.512564,2111.66781,973.4846728,15513.70313,0
69113,can,2030,netzero,high,ref,high,ref,yes,high,376.1740554,153.0672786,112.1223067,71.55741339,1796.911629,2051.860387,945.5526389,15287.58311,0
69176,can,2030,netzero,ref,low,ref,ref,no,high,377.8930835,156.3864509,113.5220537,73.36171801,1823.973446,2085.742289,960.6868384,15397.81567,0
69239,can,2030,netzero,low,low,ref,ref,no,high,378.8546981,159.5003656,114.8227693,76.86447543,1876.381253,2111.378863,980.1227868,15536.821,0
69302,can,2030,netzero,high,ref,ref,ref,no,high,376.1737627,153.0879558,112.1241087,71.56572533,1797.018774,2051.848183,945.6073122,15287.91138,0
69365,can,2030,netzero,high,low,ref,ref,no,high,376.5035172,156.1690464,112.7454568,71.71292378,1810.214216,2061.3382,950.0152011,15313.37979,0
69428,can,2030,netzero,ref,low,low,ref,no,high,377.8568643,156.3613881,113.4998073,73.38354997,1824.044362,2085.725714,960.7365887,15397.98258,0
69491,can,2030,netzero,low,low,low,ref,no,high,378.8030276,159.5879907,114.8069252,76.88773379,1877.17255,2111.007476,980.2548742,15537.34075,0
69554,can,2030,netzero,high,low,low,ref,no,high,376.5169332,156.1679553,112.7328964,71.73272284,1810.365829,2061.39144,950.1568115,15313.95852,0
69617,can,2030,netzero,ref,low,high,ref,no,high,377.8249438,156.5212436,113.5245076,73.37852524,1824.930685,2085.813693,960.7191505,15398.01178,0
69680,can,2030,netzero,low,low,high,ref,no,high,378.8614171,159.396229,114.8215749,76.85557565,1875.552041,2111.436289,979.9367008,15536.19285,0
69743,can,2030,netzero,high,low,high,ref,no,high,376.5439079,156.1516646,112.759275,71.69857173,1809.992975,2061.233716,949.9754828,15312.99994,0
69806,can,2030,netzero,ref,low,ref,ref,yes,high,377.821176,156.670801,113.551912,73.40501804,1825.626907,2085.788893,960.8743966,15399.12219,0
69869,can,2030,netzero,low,low,ref,ref,yes,high,378.8544658,159.5031406,114.8229859,76.8644776,1876.400337,2111.381685,980.1237914,15536.83623,0
69932,can,2030,netzero,high,low,ref,ref,yes,high,376.5389473,156.168321,112.750633,71.70841645,1810.200677,2061.406831,950.0502012,15313.45737,0
69995,can,2030,netzero,ref,ref,low,ref,no,high,377.7562057,153.2043686,113.1375644,73.25148055,1808.34903,2081.411295,956.9362946,15378.83963,0
70058,can,2030,netzero,ref,low,low,ref,yes,high,377.8590756,156.3259552,113.4932298,73.37439554,1823.700832,2085.645278,960.7114017,15397.87601,0
70121,can,2030,netzero,low,low,low,ref,yes,high,378.7992512,159.6035872,114.8091352,76.88792646,1877.330307,2111.024269,980.2814353,15537.40134,0
70184,can,2030,netzero,high,low,low,ref,yes,high,376.5129951,156.1404267,112.7316002,71.73394531,1810.23139,2061.29677,950.1319513,15313.93531,0
70247,can,2030,netzero,ref,low,high,ref,yes,high,377.8583555,156.5707173,113.5352018,73.392315,1825.070489,2085.917464,960.8003625,15398.74078,0
70310,can,2030,netzero,low,low,high,ref,yes,high,378.8641114,159.3957167,114.8215954,76.85638417,1875.535939,2111.445897,979.9436509,15536.22338,0
70373,can,2030,netzero,high,low,high,ref,yes,high,376.5387701,156.1582024,112.7602563,71.70216036,1810.063897,2061.399729,950.0008235,15313.20655,0
70436,can,2030,netzero,ref,high,ref,ref,no,high,377.5958592,152.0673126,112.8452671,73.18933428,1804.200476,2076.275383,954.6759138,15365.12641,0
70499,can,2030,netzero,low,high,ref,ref,no,high,379.104696,153.4112393,114.2601738,76.70263618,1841.235336,2108.807718,972.9394901,15505.63351,0
70562,can,2030,netzero,high,high,ref,ref,no,high,376.0830441,151.9019033,111.8887438,71.54458707,1792.832093,2049.072754,943.7268372,15275.58621,0
70625,can,2030,netzero,ref,high,low,ref,no,high,377.5739397,152.0863579,112.8450211,73.2160557,1804.677634,2076.512451,954.8326791,15365.52243,0
70688,can,2030,netzero,low,ref,low,ref,no,high,379.1290666,154.2302894,114.4037582,76.77634676,1844.460375,2111.38019,973.5117935,15514.15673,0
70751,can,2030,netzero,low,high,low,ref,no,high,379.0743859,153.4078524,114.2437506,76.72351069,1841.54418,2109.02405,973.0494432,15506.11642,0
70814,can,2030,netzero,high,high,low,ref,no,high,376.0337441,151.9140119,111.8693643,71.56491663,1793.116324,2049.012683,943.8133647,15276.08578,0
70877,can,2030,netzero,ref,high,high,ref,no,high,377.5940948,152.0619062,112.8415804,73.18218935,1804.043567,2076.262449,954.6135671,15364.79861,0
70940,can,2030,netzero,low,high,high,ref,no,high,379.1043956,153.4081169,114.2582393,76.69513438,1841.088832,2108.787632,972.8808494,15505.38003,0
71003,can,2030,netzero,high,high,high,ref,no,high,376.0848215,151.886828,111.8852386,71.5374236,1792.62369,2049.069016,943.6579002,15275.21739,0
71066,can,2030,netzero,ref,high,ref,ref,yes,high,377.5930229,152.0650448,112.8430896,73.18793189,1804.165197,2076.23651,954.6688959,15365.0862,0
71129,can,2030,netzero,low,high,ref,ref,yes,high,379.1045407,153.4111075,114.2600815,76.70285648,1841.235188,2108.804135,972.938809,15505.62992,0
71192,can,2030,netzero,high,high,ref,ref,yes,high,376.0687746,151.9170955,111.8879142,71.54424685,1792.890453,2049.037065,943.7080544,15275.49614,0
71255,can,2030,netzero,ref,high,low,ref,yes,high,377.5794878,152.0650729,112.8364484,73.21008897,1804.373703,2076.457178,954.8211,15365.83852,0
71318,can,2030,netzero,low,high,low,ref,yes,high,379.0769376,153.3951855,114.2407966,76.72462134,1841.301941,2108.709473,973.0080142,15505.96386,0
71381,can,2030,netzero,high,ref,low,ref,no,high,376.1186161,153.0667943,112.101319,71.59218673,1797.237167,2051.823331,945.6699876,15288.29416,0
71444,can,2030,netzero,high,high,low,ref,yes,high,376.0579796,151.9079071,111.8755172,71.56301935,1793.030548,2049.101272,943.8532134,15276.20347,0
