Model,Scenario,Region,Variable,Unit,1990,1995,2000,2005,2007,2008,2010,2011,2012,2013,2014,2015,2018,2020,2021,2022,2023,2024,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2110,2130,2150,Country,Species
C-GEM 3.0,BAU_IEO,CAN,Emissions|CO2|Energy|Demand,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,361.783142644224,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,BAU_IEO,CAN,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,127.830588675156,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,BAU_IEO,CAN,Emissions|CO2|Energy|Demand|Residential and Commercial,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,143.042467690295,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,BAU_IEO,CAN,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,78.091759626374,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,BAU_IEO,CAN,Emissions|CO2|Energy|Supply,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,247.223165046654,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,BAU_WEO,CAN,Emissions|CO2|Energy|Demand,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,356.919099453145,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,BAU_WEO,CAN,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,127.855881989975,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,BAU_WEO,CAN,Emissions|CO2|Energy|Demand|Residential and Commercial,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,135.081499599814,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,BAU_WEO,CAN,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,80.8428868155602,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,BAU_WEO,CAN,Emissions|CO2|Energy|Supply,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,220.087269840158,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,IEO_NDC2C_ASIA,CAN,Emissions|CO2|Energy|Demand,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,304.548185622287,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,IEO_NDC2C_ASIA,CAN,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,113.665620321961,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,IEO_NDC2C_ASIA,CAN,Emissions|CO2|Energy|Demand|Residential and Commercial,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,107.647144784146,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,IEO_NDC2C_ASIA,CAN,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,70.9528323574388,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,IEO_NDC2C_ASIA,CAN,Emissions|CO2|Energy|Supply,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,121.457384685775,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,IEO_NDC2C_EUR_CHN,CAN,Emissions|CO2|Energy|Demand,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,304.313632024329,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,IEO_NDC2C_EUR_CHN,CAN,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,113.312326504525,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,IEO_NDC2C_EUR_CHN,CAN,Emissions|CO2|Energy|Demand|Residential and Commercial,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,107.820683299075,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,IEO_NDC2C_EUR_CHN,CAN,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,70.8673005486099,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,IEO_NDC2C_EUR_CHN,CAN,Emissions|CO2|Energy|Supply,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,121.691945356964,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,IEO_NDC2C_GLOBAL,CAN,Emissions|CO2|Energy|Demand,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,296.076345355066,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,IEO_NDC2C_GLOBAL,CAN,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,110.809836559157,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,IEO_NDC2C_GLOBAL,CAN,Emissions|CO2|Energy|Demand|Residential and Commercial,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,105.558676889522,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,IEO_NDC2C_GLOBAL,CAN,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,67.4295384682879,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,IEO_NDC2C_GLOBAL,CAN,Emissions|CO2|Energy|Supply,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,115.131078223264,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,IEO_NDC2C_PARTIAL,CAN,Emissions|CO2|Energy|Demand,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,302.579628406362,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,IEO_NDC2C_PARTIAL,CAN,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,111.98749338427,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,IEO_NDC2C_PARTIAL,CAN,Emissions|CO2|Energy|Demand|Residential and Commercial,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,107.488238545887,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,IEO_NDC2C_PARTIAL,CAN,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,70.7733290798294,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,IEO_NDC2C_PARTIAL,CAN,Emissions|CO2|Energy|Supply,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,120.046911205761,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,IEO_NDC2C_REF,CAN,Emissions|CO2|Energy|Demand,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,304.212268992594,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,IEO_NDC2C_REF,CAN,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,113.665797411808,,,,,,,,,,,,,,,,,,Canada,CO2
C-GEM 3.0,IEO_NDC2C_REF,CAN,Emissions|CO2|Energy|Demand|Residential and Commercial,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,107.42171023682,,,,,,,,,,,,,,,,,,Canada,CO2
