Model,Scenario,Region,Variable,Unit,1990,1995,2000,2005,2007,2008,2010,2011,2012,2013,2014,2015,2018,2020,2021,2022,2023,2024,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2110,2130,2150,Country,Species
AIM/CGE-Korea 2.1,CO_2Deg2020,KOR,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,,,,0.0,,,0.0,,,,,0.0,,0.0,,,,,0.0,0.1936,0.8599,1.9823,14.214,91.5641,,,,,,,,,,,,,,South Korea,
AIM/CGE-Korea 2.1,CO_2Deg2020,KOR,Carbon Sequestration|CCS|Biomass|Energy|Supply,Mt CO2/yr,,,,0.0,,,0.0,,,,,0.0,,0.0,,,,,0.0,0.1936,0.8599,1.9823,14.214,91.5641,,,,,,,,,,,,,,South Korea,
AIM/CGE-Korea 2.1,CO_2Deg2020,KOR,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,Mt CO2/yr,,,,0.0,,,0.0,,,,,0.0,,0.0,,,,,0.0,0.0127,0.1337,0.8958,12.9654,90.3625,,,,,,,,,,,,,,South Korea,
AIM/CGE-Korea 2.1,CO_2Deg2020,KOR,Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids,Mt CO2/yr,,,,0.0,,,0.0,,,,,0.0,,0.0,,,,,0.0,0.1809,0.7262,1.0865,1.2486,1.2015,,,,,,,,,,,,,,South Korea,
AIM/CGE-Korea 2.1,CO_2Deg2020,KOR,Emissions|CH4|AFOLU,Mt CO2e/yr,,,,16.416400000000003,,,17.0576,,,,,17.472,,17.5168,,,,,13.034,10.6568,8.9236,7.406000000000001,5.7344,4.942,,,,,,,,,,,,,,South Korea,CH4
AIM/CGE-Korea 2.1,CO_2Deg2020,KOR,Emissions|CH4|Energy|Demand|Industry,Mt CO2e/yr,,,,0.1344,,,0.1568,,,,,0.1708,,0.1764,,,,,0.168,0.154,0.1372,0.11480000000000001,0.0784,0.0672,,,,,,,,,,,,,,South Korea,CH4
AIM/CGE-Korea 2.1,CO_2Deg2020,KOR,Emissions|CH4|Energy|Demand|Residential and Commercial,Mt CO2e/yr,,,,0.7504000000000001,,,0.5824,,,,,0.5488,,0.5656,,,,,0.5572,0.5236000000000001,0.4676,0.3976,0.2912,0.2548,,,,,,,,,,,,,,South Korea,CH4
AIM/CGE-Korea 2.1,CO_2Deg2020,KOR,Emissions|CH4|Energy|Demand|Transportation,Mt CO2e/yr,,,,0.5880000000000001,,,0.7504000000000001,,,,,0.8428,,0.882,,,,,0.8456,0.7784,0.7056,0.6104,0.434,0.3276,,,,,,,,,,,,,,South Korea,CH4
AIM/CGE-Korea 2.1,CO_2Deg2020,KOR,Emissions|CH4|Energy|Supply,Mt CO2e/yr,,,,7.0252,,,5.8044,,,,,5.4292,,5.2556,,,,,2.6236,1.764,1.2515999999999998,0.8848,0.5768,0.41159999999999997,,,,,,,,,,,,,,South Korea,CH4
AIM/CGE-Korea 2.1,CO_2Deg2020,KOR,Emissions|CO2|AFOLU,Mt CO2/yr,,,,-3.0819,,,1.5757,,,,,1.5403,,1.4597,,,,,-1.1115,-2.6777,-4.8945,-6.843,-7.9272,-8.5805,,,,,,,,,,,,,,South Korea,CO2
AIM/CGE-Korea 2.1,CO_2Deg2020,KOR,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,545.5689,,,654.16,,,,,704.9811,,750.7602,,,,,657.7363,544.743,430.1925,314.9308,199.4065,81.4272,,,,,,,,,,,,,,South Korea,CO2
AIM/CGE-Korea 2.1,CO_2Deg2020,KOR,Emissions|CO2|Energy|Demand,Mt CO2/yr,,,,260.0194,,,295.3915,,,,,321.4644,,336.0145,,,,,322.094,296.2705,253.5695,202.2752,128.3562,102.6958,,,,,,,,,,,,,,South Korea,CO2
AIM/CGE-Korea 2.1,CO_2Deg2020,KOR,Emissions|CO2|Energy|Demand|AFOFI,Mt CO2/yr,,,,6.5028,,,7.3122,,,,,7.8443,,7.7019,,,,,6.8795,5.7404,4.5651,3.3571,1.7973,1.3786,,,,,,,,,,,,,,South Korea,CO2
AIM/CGE-Korea 2.1,CO_2Deg2020,KOR,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,,,,120.2963,,,150.4408,,,,,169.6102,,176.6784,,,,,164.9707,147.9219,118.9247,86.9187,46.4089,35.7265,,,,,,,,,,,,,,South Korea,CO2
AIM/CGE-Korea 2.1,CO_2Deg2020,KOR,Emissions|CO2|Energy|Demand|Residential and Commercial,Mt CO2/yr,,,,65.3365,,,49.9791,,,,,44.9788,,47.0622,,,,,49.4747,48.8373,43.8921,36.3746,24.1094,20.1309,,,,,,,,,,,,,,South Korea,CO2
